n_checks,n_comparisons,effect_size,sample_size,std_dev,Probability_of_finding_an_effect
1,1,0,100,0.01,0.0468
1,1,0,100,0.05,0.0508
1,1,0,100,0.1,0.0548
1,1,0,100,0.2,0.0536
1,1,0,1000,0.01,0.051
1,1,0,1000,0.05,0.0542
1,1,0,1000,0.1,0.0522
1,1,0,1000,0.2,0.0464
1,1,0,5000,0.01,0.0496
1,1,0,5000,0.05,0.0512
1,1,0,5000,0.1,0.0506
1,1,0,5000,0.2,0.0466
1,1,0,10000,0.01,0.0508
1,1,0,10000,0.05,0.0506
1,1,0,10000,0.1,0.05
1,1,0,10000,0.2,0.05
1,1,0.01,100,0.01,1
1,1,0.01,100,0.05,0.3046
1,1,0.01,100,0.1,0.1198
1,1,0.01,100,0.2,0.0658
1,1,0.01,1000,0.01,1
1,1,0.01,1000,0.05,0.9946
1,1,0.01,1000,0.1,0.5936
1,1,0.01,1000,0.2,0.1916
1,1,0.01,5000,0.01,1
1,1,0.01,5000,0.05,1
1,1,0.01,5000,0.1,0.9982
1,1,0.01,5000,0.2,0.7046
1,1,0.01,10000,0.01,1
1,1,0.01,10000,0.05,1
1,1,0.01,10000,0.1,1
1,1,0.01,10000,0.2,0.9378
1,1,0.02,100,0.01,1
1,1,0.02,100,0.05,0.8014
1,1,0.02,100,0.1,0.2826
1,1,0.02,100,0.2,0.1056
1,1,0.02,1000,0.01,1
1,1,0.02,1000,0.05,1
1,1,0.02,1000,0.1,0.9938
1,1,0.02,1000,0.2,0.6062
1,1,0.02,5000,0.01,1
1,1,0.02,5000,0.05,1
1,1,0.02,5000,0.1,1
1,1,0.02,5000,0.2,0.9988
1,1,0.02,10000,0.01,1
1,1,0.02,10000,0.05,1
1,1,0.02,10000,0.1,1
1,1,0.02,10000,0.2,1
1,1,0.05,100,0.01,1
1,1,0.05,100,0.05,1
1,1,0.05,100,0.1,0.9372
1,1,0.05,100,0.2,0.4288
1,1,0.05,1000,0.01,1
1,1,0.05,1000,0.05,1
1,1,0.05,1000,0.1,1
1,1,0.05,1000,0.2,0.9998
1,1,0.05,5000,0.01,1
1,1,0.05,5000,0.05,1
1,1,0.05,5000,0.1,1
1,1,0.05,5000,0.2,1
1,1,0.05,10000,0.01,1
1,1,0.05,10000,0.05,1
1,1,0.05,10000,0.1,1
1,1,0.05,10000,0.2,1
1,1,0.1,100,0.01,1
1,1,0.1,100,0.05,1
1,1,0.1,100,0.1,1
1,1,0.1,100,0.2,0.9348
1,1,0.1,1000,0.01,1
1,1,0.1,1000,0.05,1
1,1,0.1,1000,0.1,1
1,1,0.1,1000,0.2,1
1,1,0.1,5000,0.01,1
1,1,0.1,5000,0.05,1
1,1,0.1,5000,0.1,1
1,1,0.1,5000,0.2,1
1,1,0.1,10000,0.01,1
1,1,0.1,10000,0.05,1
1,1,0.1,10000,0.1,1
1,1,0.1,10000,0.2,1
1,1,0.2,100,0.01,1
1,1,0.2,100,0.05,1
1,1,0.2,100,0.1,1
1,1,0.2,100,0.2,1
1,1,0.2,1000,0.01,1
1,1,0.2,1000,0.05,1
1,1,0.2,1000,0.1,1
1,1,0.2,1000,0.2,1
1,1,0.2,5000,0.01,1
1,1,0.2,5000,0.05,1
1,1,0.2,5000,0.1,1
1,1,0.2,5000,0.2,1
1,1,0.2,10000,0.01,1
1,1,0.2,10000,0.05,1
1,1,0.2,10000,0.1,1
1,1,0.2,10000,0.2,1
1,2,0,100,0.01,0.0976
1,2,0,100,0.05,0.1018
1,2,0,100,0.1,0.0854
1,2,0,100,0.2,0.0946
1,2,0,1000,0.01,0.0974
1,2,0,1000,0.05,0.0956
1,2,0,1000,0.1,0.0978
1,2,0,1000,0.2,0.0922
1,2,0,5000,0.01,0.0962
1,2,0,5000,0.05,0.0908
1,2,0,5000,0.1,0.0982
1,2,0,5000,0.2,0.101
1,2,0,10000,0.01,0.0952
1,2,0,10000,0.05,0.0964
1,2,0,10000,0.1,0.095
1,2,0,10000,0.2,0.0928
1,2,0.01,100,0.01,1
1,2,0.01,100,0.05,0.4894
1,2,0.01,100,0.1,0.2006
1,2,0.01,100,0.2,0.1256
1,2,0.01,1000,0.01,1
1,2,0.01,1000,0.05,1
1,2,0.01,1000,0.1,0.8424
1,2,0.01,1000,0.2,0.3622
1,2,0.01,5000,0.01,1
1,2,0.01,5000,0.05,1
1,2,0.01,5000,0.1,1
1,2,0.01,5000,0.2,0.9072
1,2,0.01,10000,0.01,1
1,2,0.01,10000,0.05,1
1,2,0.01,10000,0.1,1
