n_checks,n_comparisons,effect_size,sample_size,Probability_of_finding_an_effect
1,1,0,100,0.12
1,1,0,1000,0.02
1,1,0,5000,0.06
1,1,0.01,100,0.08
1,1,0.01,1000,0.4
1,1,0.01,5000,0.98
1,1,0.02,100,0.18
1,1,0.02,1000,0.9
1,1,0.02,5000,1
1,1,0.03,100,0.4
1,1,0.03,1000,1
1,1,0.03,5000,1
1,1,0.04,100,0.64
1,1,0.04,1000,1
1,1,0.04,5000,1
1,1,0.05,100,0.82
1,1,0.05,1000,1
1,1,0.05,5000,1
1,1,0.06,100,0.92
1,1,0.06,1000,1
1,1,0.06,5000,1
1,1,0.07,100,1
1,1,0.07,1000,1
1,1,0.07,5000,1
1,1,0.08,100,1
1,1,0.08,1000,1
1,1,0.08,5000,1
1,1,0.09,100,1
1,1,0.09,1000,1
1,1,0.09,5000,1
1,1,0.1,100,1
1,1,0.1,1000,1
1,1,0.1,5000,1
1,5,0,100,0.2
1,5,0,1000,0.18
1,5,0,5000,0.24
1,5,0.01,100,0.32
1,5,0.01,1000,0.74
1,5,0.01,5000,1
1,5,0.02,100,0.48
1,5,0.02,1000,1
1,5,0.02,5000,1
1,5,0.03,100,0.78
1,5,0.03,1000,1
1,5,0.03,5000,1
1,5,0.04,100,0.94
1,5,0.04,1000,1
1,5,0.04,5000,1
1,5,0.05,100,0.98
1,5,0.05,1000,1
1,5,0.05,5000,1
1,5,0.06,100,1
1,5,0.06,1000,1
1,5,0.06,5000,1
1,5,0.07,100,1
1,5,0.07,1000,1
1,5,0.07,5000,1
1,5,0.08,100,1
1,5,0.08,1000,1
1,5,0.08,5000,1
1,5,0.09,100,1
1,5,0.09,1000,1
1,5,0.09,5000,1
1,5,0.1,100,1
1,5,0.1,1000,1
1,5,0.1,5000,1
1,10,0,100,0.32
1,10,0,1000,0.3
1,10,0,5000,0.28
1,10,0.01,100,0.34
1,10,0.01,1000,0.88
1,10,0.01,5000,1
1,10,0.02,100,0.64
1,10,0.02,1000,1
1,10,0.02,5000,1
1,10,0.03,100,0.78
1,10,0.03,1000,1
1,10,0.03,5000,1
1,10,0.04,100,0.94
1,10,0.04,1000,1
1,10,0.04,5000,1
1,10,0.05,100,0.98
1,10,0.05,1000,1
1,10,0.05,5000,1
1,10,0.06,100,1
1,10,0.06,1000,1
1,10,0.06,5000,1
1,10,0.07,100,1
1,10,0.07,1000,1
1,10,0.07,5000,1
1,10,0.08,100,1
1,10,0.08,1000,1
1,10,0.08,5000,1
1,10,0.09,100,1
